,Borough,Locality,Latitude,Longitude
0,Mitte,Mitte,52.5176896,13.4023757
1,Mitte,Moabit,52.5301017,13.3425422
2,Mitte,Hansaviertel,52.5191234,13.3418725
3,Mitte,Tiergarten,52.5097776,13.3572597
4,Mitte,Wedding,52.550123,13.34197
5,Mitte,Gesundbrunnen,52.5509201,13.384846
6,Friedrichshain-Kreuzberg,Friedrichshain,52.5122154,13.4502904
7,Friedrichshain-Kreuzberg,Kreuzberg,52.4976443,13.411914
8,Pankow,Prenzlauer Berg,52.5398466,13.4285652
9,Pankow,Weissensee,52.5546193,13.4630018
10,Pankow,Blankenburg,52.593211,13.4541825
11,Pankow,Heinersdorf,52.5728248,13.4370149
12,Pankow,Karow,52.6150868,13.4862758
13,Pankow,Stadtrandsiedlung Malchow,52.5710194,13.4632849
14,Pankow,Pankow,52.59766255,13.436351401882
15,Pankow,Blankenfelde,52.6186272,13.3884468
16,Pankow,Buch,52.6366724,13.4999292
17,Pankow,Französisch Buchholz,52.6105131,13.4281104
18,Pankow,Niederschönhausen,52.5858062,13.401397
19,Pankow,Rosenthal,52.5983189,13.3755194
20,Pankow,Wilhelmsruh,52.5880115,13.3622059
21,Charlottenburg-Wilmersdorf,Charlottenburg,52.515747,13.3096834
22,Charlottenburg-Wilmersdorf,Wilmersdorf,52.4871152,13.3203298
23,Charlottenburg-Wilmersdorf,Schmargendorf,52.4789022,13.2929962
24,Charlottenburg-Wilmersdorf,Grunewald,52.4873475,13.2637538
25,Charlottenburg-Wilmersdorf,Westend,52.5133992,13.2558416
26,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,52.5405253,13.2962663
27,Charlottenburg-Wilmersdorf,Halensee,52.4972262,13.2929986
28,Tempelhof-Schöneberg,Schöneberg,52.482157,13.3551901
29,Tempelhof-Schöneberg,Friedenau,52.472075,13.3296424
30,Tempelhof-Schöneberg,Tempelhof,52.4632921,13.3864477
31,Tempelhof-Schöneberg,Mariendorf,52.44008,13.3900277
32,Tempelhof-Schöneberg,Marienfelde,52.4125766,13.3665916
33,Tempelhof-Schöneberg,Lichtenrade,52.3934559,13.4020397
34,Neukölln,Neukölln,52.4811497,13.4353501
35,Neukölln,Britz,52.4483324,13.4423401
36,Neukölln,Buckow,52.4186619,13.4289504
37,Neukölln,Rudow,52.4146801,13.4986183
38,Neukölln,Gropiusstadt,52.4249493,13.466183
