,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Mitte,52.5176896,13.4023757,momotaro tavern,52.521201,13.409838,Burger Joint
1,Mitte,52.5176896,13.4023757,BraufactuM Berlin am Hausvogteiplatz (ehemals 'das Meisterstück'),52.51342,13.39605,German Restaurant
2,Mitte,52.5176896,13.4023757,Five Guys,52.5207838,13.4137908,Burger Joint
3,Mitte,52.5176896,13.4023757,Buffalo Steakhaus,52.52294747659008,13.407536440463701,Steakhouse
4,Mitte,52.5176896,13.4023757,bibi mix,52.523637,13.409156,Korean Restaurant
5,Mitte,52.5176896,13.4023757,Revolver Burger,52.52445465682092,13.403124511241913,Burger Joint
6,Mitte,52.5176896,13.4023757,Möpse trinken Bier,52.523011,13.407121,Pub
7,Mitte,52.5176896,13.4023757,The Pub Berlin,52.52312771262417,13.407185401081474,Burger Joint
8,Mitte,52.5176896,13.4023757,Supreme Burger Grill & Bar,52.524626,13.395116,Burger Joint
9,Mitte,52.5176896,13.4023757,BraufactuM,52.523537,13.410863,Beer Bar
10,Mitte,52.5176896,13.4023757,Big Bite Burger,52.518427,13.415896,Burger Joint
11,Mitte,52.5176896,13.4023757,Real Vegan Burger,52.519955,13.389433,Burger Joint
12,Moabit,52.5301017,13.3425422,Wilhelms-Burger,52.52775903929864,13.341485459948792,Burger Joint
13,Moabit,52.5301017,13.3425422,Pound & Pence,52.52789,13.33865,Burger Joint
14,Moabit,52.5301017,13.3425422,Mixtape - Bagel Burgers,52.524280440308054,13.349439953248078,Burger Joint
15,Moabit,52.5301017,13.3425422,Burgerme,52.52564757195592,13.329977989196777,Burger Joint
16,Moabit,52.5301017,13.3425422,Doy Doy,52.53442273775628,13.344561324331796,Burger Joint
17,Moabit,52.5301017,13.3425422,Burgerlich,52.527867,13.338765,Burger Joint
18,Moabit,52.5301017,13.3425422,Burgerturm,52.52709665100085,13.332080841064453,Burger Joint
19,Moabit,52.5301017,13.3425422,Burgerbude,52.52749189182238,13.330773614205873,Burger Joint
20,Moabit,52.5301017,13.3425422,McDarwich's,52.52655334766025,13.33753799586554,Burger Joint
21,Moabit,52.5301017,13.3425422,Piekfein,52.527907,13.338622,Burger Joint
22,Moabit,52.5301017,13.3425422,wilsnackerstr,52.53119124945533,13.349757583499093,Burger Joint
23,Hansaviertel,52.5191234,13.3418725,Mixtape - Bagel Burgers,52.524280440308054,13.349439953248078,Burger Joint
24,Hansaviertel,52.5191234,13.3418725,Pound & Pence,52.52789,13.33865,Burger Joint
25,Hansaviertel,52.5191234,13.3418725,Rebel Room,52.52459,13.33018,Fast Food Restaurant
26,Hansaviertel,52.5191234,13.3418725,Burgerlich,52.527867,13.338765,Burger Joint
27,Hansaviertel,52.5191234,13.3418725,Wilhelms-Burger,52.52775903929864,13.341485459948792,Burger Joint
28,Hansaviertel,52.5191234,13.3418725,McDarwich's,52.52655334766025,13.33753799586554,Burger Joint
29,Tiergarten,52.5097776,13.3572597,Florya's Burger House,52.503223,13.3662,Burger Joint
30,Tiergarten,52.5097776,13.3572597,kiezburger,52.50221633911133,13.343981742858887,Burger Joint
31,Wedding,52.550123,13.34197,Köfte Haus,52.55463032046307,13.344605382136292,Burger Joint
32,Wedding,52.550123,13.34197,Rebel Room,52.55085049627715,13.352191029454147,Burger Joint
33,Wedding,52.550123,13.34197,Burger House,52.55460694942281,13.344528858851941,Burger Joint
34,Wedding,52.550123,13.34197,Burger Republic,52.55556176621768,13.343399600689759,Burger Joint
35,Gesundbrunnen,52.5509201,13.384846,Ya-Hala Snack,52.551533,13.380549,Burger Joint
36,Gesundbrunnen,52.5509201,13.384846,Munay Burger,52.55176282248776,13.380746841430664,Burger Joint
37,Gesundbrunnen,52.5509201,13.384846,Burger 65,52.552776,13.379338,Burger Joint
38,Friedrichshain,52.5122154,13.4502904,Spud Bencer,52.51068351450363,13.449508957398846,Burger Joint
39,Friedrichshain,52.5122154,13.4502904,Jospers Burger,52.5092314375128,13.451092663150435,Burger Joint
40,Friedrichshain,52.5122154,13.4502904,Kreuzburger,52.51198307350907,13.45561603931702,Burger Joint
41,Friedrichshain,52.5122154,13.4502904,Prost Mahlzeit,52.5132,13.448222,Burger Joint
42,Friedrichshain,52.5122154,13.4502904,Tommi’s Burger Joint,52.510987,13.458415,Burger Joint
43,Friedrichshain,52.5122154,13.4502904,Peter Pane,52.505825,13.447886,Burger Joint
44,Friedrichshain,52.5122154,13.4502904,Gorilla Barbecue Truck,52.50690086925395,13.440722084242976,Burger Joint
45,Friedrichshain,52.5122154,13.4502904,VEG‘D,52.513064,13.456323,Vegetarian / Vegan Restaurant
46,Friedrichshain,52.5122154,13.4502904,Gotham Imbiss,52.51131977824923,13.456819929586532,Burger Joint
47,Friedrichshain,52.5122154,13.4502904,Burger Now,52.50841333701077,13.452239105056222,Burger Joint
48,Friedrichshain,52.5122154,13.4502904,Burgeramt,52.51040131707381,13.459397544072182,Burger Joint
49,Friedrichshain,52.5122154,13.4502904,Hans im Glück - Burgergrill,52.505089862099105,13.443012017504106,Burger Joint
50,Friedrichshain,52.5122154,13.4502904,Voudoo Kitchen Burger & Crêpes,52.51323734474399,13.46305038753083,Burger Joint
51,Friedrichshain,52.5122154,13.4502904,Bro Burger,52.503436,13.447236,Burger Joint
52,Friedrichshain,52.5122154,13.4502904,SchillerBurger,52.50888150630684,13.460471218436908,Burger Joint
53,Friedrichshain,52.5122154,13.4502904,Burger Jam(Curry Box),52.51259926342912,13.458766161394182,Burger Joint
54,Friedrichshain,52.5122154,13.4502904,Five Guys,52.50531712307342,13.443359540693677,Burger Joint
55,Friedrichshain,52.5122154,13.4502904,Burgeramt frühstücksklub,52.510194,13.459904,Fast Food Restaurant
56,Friedrichshain,52.5122154,13.4502904,Hauptstadt Burger,52.505328,13.44521,Burger Joint
57,Friedrichshain,52.5122154,13.4502904,Rembrandt Burger,52.51997371400662,13.447589191840589,Burger Joint
58,Friedrichshain,52.5122154,13.4502904,Eastside Burger,52.503465462897196,13.447358059382779,Burger Joint
59,Friedrichshain,52.5122154,13.4502904,5 Places Burger House,52.508939400666065,13.45573744788477,Burger Joint
60,Friedrichshain,52.5122154,13.4502904,Bariton,52.5111121172049,13.46387170420236,Bar
61,Kreuzberg,52.4976443,13.411914,Burgermeister,52.499464,13.418647,Burger Joint
62,Kreuzberg,52.4976443,13.411914,Cem's BURGERHOUSE,52.49940896896072,13.417874927541433,Burger Joint
63,Kreuzberg,52.4976443,13.411914,Original Bamaas Food Truck,52.49444467644763,13.42478305597074,Food Truck
64,Kreuzberg,52.4976443,13.411914,Vegan Snackbar By Attila Hildmann 2,52.50049264590592,13.418751249418502,Vegetarian / Vegan Restaurant
65,Kreuzberg,52.4976443,13.411914,İmren Burger & Pizza,52.4909520142519,13.421441316604614,Burger Joint
66,Kreuzberg,52.4976443,13.411914,Pacifico,52.50384734485071,13.40989250334581,Korean Restaurant
67,Kreuzberg,52.4976443,13.411914,PowwoW,52.49310155731124,13.414261362641634,Burger Joint
68,Kreuzberg,52.4976443,13.411914,Kiezburger,52.50117937532314,13.41972752027998,Burger Joint
69,Kreuzberg,52.4976443,13.411914,Hasir Burger,52.50084190678971,13.418972258343173,Burger Joint
70,Kreuzberg,52.4976443,13.411914,Hamburger Heaven,52.495263,13.41965,Burger Joint
71,Kreuzberg,52.4976443,13.411914,M Burger,52.492578,13.42162,Burger Joint
72,Kreuzberg,52.4976443,13.411914,Windburger,52.49872359963384,13.425836100331598,Burger Joint
73,Kreuzberg,52.4976443,13.411914,Hauptstadt Burger,52.500379,13.418594,Burger Joint
74,Kreuzberg,52.4976443,13.411914,Köftehaus Am Kotti,52.500049385971955,13.418211057313343,Burger Joint
75,Kreuzberg,52.4976443,13.411914,HB Burger Kreuzberg Berlin,52.500711592165274,13.418977869986566,Burger Joint
76,Kreuzberg,52.4976443,13.411914,Brandenburger,52.502476,13.420217,Burger Joint
77,Kreuzberg,52.4976443,13.411914,Gotham Burgers Moritzplatz,52.503837,13.409216,Burger Joint
78,Kreuzberg,52.4976443,13.411914,Burger Zimmer,52.505715,13.412079,Burger Joint
79,Kreuzberg,52.4976443,13.411914,Gotham Grill,52.49400560115553,13.421631412079188,Burger Joint
80,Kreuzberg,52.4976443,13.411914,Kreuzburger,52.50046715049089,13.422386249473595,Burger Joint
81,Kreuzberg,52.4976443,13.411914,Captain Burger 36,52.50066955746034,13.42325985431671,Burger Joint
82,Kreuzberg,52.4976443,13.411914,Burgers & Hiphop,52.50313773939755,13.408944084296653,Burger Joint
