,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Mitte,52.5176896,13.4023757,Angie's Grill-Imbiss,52.5170398989075,13.38572327891442,Food Truck
1,Mitte,52.5176896,13.4023757,Kaffee Floh,52.513154,13.396904,Food Truck
2,Mitte,52.5176896,13.4023757,Streats Vegan Food Truck,52.51116820198141,13.400857852436147,Food Truck
3,Mitte,52.5176896,13.4023757,Lemonaid+,52.514502,13.401152,Coffee Shop
4,Mitte,52.5176896,13.4023757,Jones Ice Cream,52.513188,13.397239,Food Truck
5,Mitte,52.5176896,13.4023757,Grillwalker,52.52455809756914,13.409961062948963,Food Truck
6,Mitte,52.5176896,13.4023757,Wrap Hackescher Markt,52.523398,13.402515,Food Truck
7,Mitte,52.5176896,13.4023757,Kairo Koshary,52.515547,13.408747,Food Truck
8,Mitte,52.5176896,13.4023757,Tolle Flammkuchen,52.52362536535577,13.402348508829688,Food Truck
9,Mitte,52.5176896,13.4023757,Snackmobil,52.52268,13.394294,Food Truck
10,Mitte,52.5176896,13.4023757,Kebab Shack,52.52099722668957,13.388671244968142,Food Truck
11,Mitte,52.5176896,13.4023757,barduni zenwich,52.523277,13.40313,Food Truck
12,Mitte,52.5176896,13.4023757,Herzhaft,52.512907,13.396808,Food Truck
13,Mitte,52.5176896,13.4023757,Yo Cup,52.522667,13.39447,Food Truck
14,Mitte,52.5176896,13.4023757,Grillwalker,52.519574,13.388262,Food Truck
15,Mitte,52.5176896,13.4023757,Santa Mamma,52.52205,13.4131,Food Truck
16,Mitte,52.5176896,13.4023757,Ketwurststand,52.5191768729841,13.388680799626655,Food Truck
17,Mitte,52.5176896,13.4023757,Frische Quarkkeulchen Heinrich-Heine-Str,52.510866,13.416532,Food Truck
18,Mitte,52.5176896,13.4023757,Wochenmarkt,52.51244657900016,13.39707534555929,Food Truck
19,Mitte,52.5176896,13.4023757,Lucullus,52.511959,13.398899,Food Truck
20,Mitte,52.5176896,13.4023757,@Antonio's,52.52232360839844,13.410518646240234,Food Truck
21,Mitte,52.5176896,13.4023757,Hot Dog,52.52160356646953,13.414475118726235,Food Truck
22,Moabit,52.5301017,13.3425422,CURRY-ECK,52.52611959747787,13.338424810251365,Snack Place
23,Hansaviertel,52.5191234,13.3418725,CURRY-ECK,52.52611959747787,13.338424810251365,Snack Place
24,Tiergarten,52.5097776,13.3572597,DocCheck Foodtruck,52.509405,13.371425,Food Truck
25,Tiergarten,52.5097776,13.3572597,Pastenmann,52.501502990722656,13.343706130981445,Food Truck
26,Tiergarten,52.5097776,13.3572597,Schöne-Augen-Mann,52.50186833226946,13.346026898303332,Food Truck
27,Tiergarten,52.5097776,13.3572597,Brotitaliener,52.502220153808594,13.343859672546387,Food Truck
28,Wedding,52.550123,13.34197,La Comida,52.555558255829936,13.343406317152516,Food Truck
29,Wedding,52.550123,13.34197,Imbiss Charité Virchow,52.54287764038393,13.342391070025556,Food Truck
