,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Mitte,52.5176896,13.4023757,Berliner Currywurst,52.52081043498214,13.39458703994751,Hot Dog Joint
1,Mitte,52.5176896,13.4023757,Der Wurstmann,52.523414,13.402659,Hot Dog Joint
2,Mitte,52.5176896,13.4023757,Original Berlin Frankfurter,52.521301,13.412016,Hot Dog Joint
3,Mitte,52.5176896,13.4023757,Snackmobil,52.52268,13.394294,Food Truck
4,Moabit,52.5301017,13.3425422,Berlin Hot Dog Station,52.52609265520928,13.342792524073262,Hot Dog Joint
5,Hansaviertel,52.5191234,13.3418725,Berlin Hot Dog Station,52.52609265520928,13.342792524073262,Hot Dog Joint
6,Tiergarten,52.5097776,13.3572597,King's Burger & Hot Dog,52.502846,13.365302,Hot Dog Joint
7,Gesundbrunnen,52.5509201,13.384846,Curry & Chilli Club - Der Schärfste Club der Welt,52.55466232094602,13.384017519949744,Hot Dog Joint
8,Friedrichshain,52.5122154,13.4502904,Hot Dog Soup,52.51148105093338,13.458573003047329,Hot Dog Joint
9,Friedrichshain,52.5122154,13.4502904,Golden Hot Dog,52.504938,13.44809,Hot Dog Joint
10,Friedrichshain,52.5122154,13.4502904,Berliner Currywurst,52.506506729120055,13.449945118456188,Hot Dog Joint
11,Weissensee,52.5546193,13.4630018,Back & Snack Kiosk,52.54923158915122,13.44902515411377,Convenience Store
12,Schöneberg,52.482157,13.3551901,Burger Zimmer VIII,52.489973,13.360223,Burger Joint
13,Lichtenrade,52.3934559,13.4020397,Bernd's Snack Imbiss,52.386811,13.400955,Hot Dog Joint
