,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Mitte,52.5176896,13.4023757,"C3 - creative, code and content",52.52055372271295,13.403205517158524,Office
1,Mitte,52.5176896,13.4023757,firma.de,52.5163763537084,13.407431007086162,Office
2,Mitte,52.5176896,13.4023757,solarisBank,52.52084373907762,13.401762386502709,Tech Startup
3,Mitte,52.5176896,13.4023757,OLX Group,52.524719,13.412567,Office
4,Mitte,52.5176896,13.4023757,Lemoncat,52.523777530366196,13.40430626752626,Tech Startup
5,Mitte,52.5176896,13.4023757,eNote Gmbh,52.520758,13.411634,Office
6,Mitte,52.5176896,13.4023757,freenet digital GmbH,52.52549091189833,13.41480016708374,Office
7,Mitte,52.5176896,13.4023757,Mercedes-Benz.io,52.511149,13.404642,Office
8,Mitte,52.5176896,13.4023757,Elbkind Reply GmbH,52.523734975524334,13.40431809425354,Advertising Agency
9,Mitte,52.5176896,13.4023757,Amazon Web Services,52.514014,13.403716,Office
10,Mitte,52.5176896,13.4023757,Packagist Conductors,52.525776,13.399334,Tech Startup
11,Mitte,52.5176896,13.4023757,Kantine im Roten Rathaus,52.518711565466624,13.408754467964172,Corporate Cafeteria
12,Mitte,52.5176896,13.4023757,Wayfair Office Alexanderplatz,52.52493618764692,13.412468131217691,Office
13,Mitte,52.5176896,13.4023757,BCG Digital Ventures,52.52388952143767,13.406692537075553,Tech Startup
14,Mitte,52.5176896,13.4023757,Tüsiad,52.51331013723295,13.411517978370993,Office
15,Mitte,52.5176896,13.4023757,WeWork Hackescher Markt,52.5246922,13.4047745,Coworking Space
16,Mitte,52.5176896,13.4023757,Mercedes-Benz Consulting GmbH,52.51236,13.389951,Office
17,Mitte,52.5176896,13.4023757,Signature by Regus,52.51733794331661,13.389147949637845,Business Center
18,Mitte,52.5176896,13.4023757,Microsoft Berlin,52.51678234501799,13.390488624572754,Electronics Store
19,Mitte,52.5176896,13.4023757,Vivy,52.50921346118894,13.39576522163465,Office
20,Mitte,52.5176896,13.4023757,VC/O - Viessmann Group,52.51934627047904,13.38851325649152,Office
21,Mitte,52.5176896,13.4023757,Scholz & Friends Berlin,52.52179928073099,13.403775726728613,Advertising Agency
22,Mitte,52.5176896,13.4023757,Productsup,52.524879,13.41478,Tech Startup
23,Mitte,52.5176896,13.4023757,SAP Kantine,52.52586563364223,13.403547097574345,Corporate Cafeteria
24,Mitte,52.5176896,13.4023757,rent24 Coworking Berlin Mitte,52.51381229522675,13.396854119151449,Coworking Space
25,Mitte,52.5176896,13.4023757,Berliner Luft,52.523174,13.39228,Corporate Cafeteria
26,Mitte,52.5176896,13.4023757,The Boston Consulting Group,52.509141,13.39827,Office
27,Mitte,52.5176896,13.4023757,Booking.com Germany (SPM),52.51202427524823,13.401605869206588,Office
28,Mitte,52.5176896,13.4023757,Babbel HQ,52.52466517361064,13.408121466636658,Tech Startup
29,Mitte,52.5176896,13.4023757,Grenanderhaus,52.522932051863044,13.409199714660645,Office
30,Mitte,52.5176896,13.4023757,Kantine Maxim Gorki Theater,52.519091815308634,13.395514286468295,Corporate Cafeteria
31,Mitte,52.5176896,13.4023757,AKQA Berlin,52.523406718746536,13.39913115441313,Advertising Agency
32,Mitte,52.5176896,13.4023757,SumUp HQ,52.519711488510104,13.412677502816123,Tech Startup
33,Mitte,52.5176896,13.4023757,King,52.514064032802956,13.396223642305813,Tech Startup
34,Mitte,52.5176896,13.4023757,iconmobile group,52.51085554190519,13.40571832800566,Office
35,Mitte,52.5176896,13.4023757,DATA Kitchen,52.52440519527105,13.402252195676223,Breakfast Spot
36,Mitte,52.5176896,13.4023757,N26,52.51605811137184,13.412377235310473,Tech Startup
37,Mitte,52.5176896,13.4023757,Amazon Development Center Germany,52.50984232194979,13.398481369170305,Office
38,Mitte,52.5176896,13.4023757,Mindspace,52.51229938346634,13.390057458911725,Coworking Space
39,Mitte,52.5176896,13.4023757,Delivery Hero HQ,52.524453024903885,13.39281678199768,Tech Startup
40,Mitte,52.5176896,13.4023757,Hypoport AG,52.51818701300547,13.412507298353315,Office
41,Mitte,52.5176896,13.4023757,Google Berlin,52.52318466967244,13.39232423958327,Office
42,Mitte,52.5176896,13.4023757,Quadriga Forum,52.5151130549495,13.396938916896753,Event Space
43,Mitte,52.5176896,13.4023757,TD Reply,52.521579302874535,13.40499962282914,Office
44,Mitte,52.5176896,13.4023757,SAP Berlin,52.525968782962835,13.403449905664855,Office
45,Mitte,52.5176896,13.4023757,Mindspace,52.50951408134341,13.390941677933352,Coworking Space
46,Mitte,52.5176896,13.4023757,Berliner Verlag,52.52486944275411,13.412396934589893,Office
47,Mitte,52.5176896,13.4023757,DB mindbox,52.51447743738485,13.41856180035964,Event Space
48,Mitte,52.5176896,13.4023757,EY,52.521415996645715,13.387819009648856,Office
49,Mitte,52.5176896,13.4023757,Microsoft,52.52497523526203,13.413984775543213,Office
50,Moabit,52.5301017,13.3425422,Universa,52.52970888176981,13.342880084319654,Conference Room
51,Moabit,52.5301017,13.3425422,Hometogo,52.528873,13.344457,Tech Startup
52,Moabit,52.5301017,13.3425422,Food Tech Campus,52.5318,13.344165,Tech Startup
