,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Mitte,52.5176896,13.4023757,DomAquarée,52.519876891093546,13.403213024139404,Shopping Mall
1,Mitte,52.5176896,13.4023757,Shoe City,52.5196914,13.4100692,Shoe Store
2,Mitte,52.5176896,13.4023757,Trippen Flagship Store,52.5248498255421,13.401877603690656,Shoe Store
3,Mitte,52.5176896,13.4023757,Aktiv Schuh Markt Rathauspassagen,52.5188741,13.4109173,Shoe Store
4,Mitte,52.5176896,13.4023757,Shoe City,52.51892427880361,13.388757607482596,Shoe Store
5,Mitte,52.5176896,13.4023757,Tamaris,52.519498245260245,13.415508270263672,Shoe Store
6,Mitte,52.5176896,13.4023757,Markthalle Alexanderplatz,52.52233800946482,13.407627940177917,Shopping Mall
7,Mitte,52.5176896,13.4023757,Birkenstock,52.521431,13.406546,Shoe Store
8,Mitte,52.5176896,13.4023757,hammer schuh,52.5214399,13.4065019,Shoe Store
9,Mitte,52.5176896,13.4023757,Aktiv Schuh,52.5178184,13.3885742,Shoe Store
10,Mitte,52.5176896,13.4023757,Birkenstock,52.5195941,13.3870019,Shoe Store
11,Mitte,52.5176896,13.4023757,Clarks ECCO,52.520014,13.3878611,Shoe Store
12,Mitte,52.5176896,13.4023757,Shoe City,52.5199027,13.4147937,Shoe Store
13,Mitte,52.5176896,13.4023757,Think!,52.51963,13.38727,Shoe Store
14,Mitte,52.5176896,13.4023757,RathausPassagen,52.519498245260245,13.410744667053223,Shopping Mall
15,Mitte,52.5176896,13.4023757,ALEXA,52.51927627894419,13.415701389312744,Shopping Mall
16,Mitte,52.5176896,13.4023757,Hammer Schuh Friedrichstraße,52.51943139999999,13.3881091,Shoe Store
17,Mitte,52.5176896,13.4023757,Alea 101,52.5206472294395,13.41104507446289,Shopping Mall
18,Mitte,52.5176896,13.4023757,Fischerinsel Passage,52.51311441526456,13.406196452863968,Shopping Mall
19,Mitte,52.5176896,13.4023757,Einkaufsbahnhof Berlin Friedrichstrasse,52.5200246,13.387301,Shopping Mall
20,Mitte,52.5176896,13.4023757,The Q.,52.51254473765557,13.390049437490184,Shopping Mall
21,Mitte,52.5176896,13.4023757,Zonen-Mall,52.52158829265811,13.404247018629864,Shopping Mall
22,Mitte,52.5176896,13.4023757,Big Star,52.524302393388915,13.409509686360245,Shopping Mall
23,Mitte,52.5176896,13.4023757,Friedrichstadt-Passagen,52.513334999092855,13.389801979064941,Shopping Mall
24,Moabit,52.5301017,13.3425422,MOA Bogen,52.531978460752434,13.344162929431352,Shopping Mall
25,Moabit,52.5301017,13.3425422,Schultheiss Quartier,52.52680292262519,13.343925476074217,Shopping Mall
26,Hansaviertel,52.5191234,13.3418725,Schultheiss Quartier,52.52680292262519,13.343925476074217,Shopping Mall
27,Tiergarten,52.5097776,13.3572597,Trippen Concept Store,52.5016982,13.3637962,Clothing Store
28,Wedding,52.550123,13.34197,Schillerpark-Center,52.55155662344292,13.35020098215693,Shopping Mall
29,Wedding,52.550123,13.34197,Cittipoint,52.549248078922794,13.354215660850969,Miscellaneous Shop
30,Gesundbrunnen,52.5509201,13.384846,Gesundbrunnen Center,52.549760353405446,13.389019352315625,Shopping Mall
31,Gesundbrunnen,52.5509201,13.384846,Einkaufsbahnhof Berlin Gesundbrunnen,52.5487547,13.3890473,Shopping Mall
32,Gesundbrunnen,52.5509201,13.384846,Tamaris,52.5500340134544,13.38888587880344,Shoe Store
33,Gesundbrunnen,52.5509201,13.384846,Русский Магазин На Ослоуер Штрассе,52.556733886417376,13.372914990651696,Shopping Mall
34,Friedrichshain,52.5122154,13.4502904,UrbanBoarding Longboard und Skateboard Shop,52.51202508194773,13.454193230688475,Board Shop
35,Friedrichshain,52.5122154,13.4502904,Lidl Rigaerstr,52.51616,13.465818,Shopping Mall
36,Friedrichshain,52.5122154,13.4502904,East Side Mall,52.506157,13.447022,Shopping Mall
37,Friedrichshain,52.5122154,13.4502904,City Carré,52.511820938979014,13.433358762197221,Shopping Mall
38,Friedrichshain,52.5122154,13.4502904,Rathaus-Passage Friedrichshain,52.51571219484219,13.462092240784358,Shopping Mall
39,Kreuzberg,52.4976443,13.411914,playstixx Dildos,52.49714179994025,13.418680558793024,Shopping Mall
40,Prenzlauer Berg,52.5398466,13.4285652,Mühlenberg-Center,52.543347462890104,13.442336343437795,Shopping Mall
41,Prenzlauer Berg,52.5398466,13.4285652,buttler,52.54069,13.447232,Shopping Mall
